uri,id,label,description,created_at,cluster_id
https://orkg.org/property/P59137,P59137,f-score,The F-score is a measure of a model's accuracy on a dataset,2022-07-07T11:50:07.44767Z,2
https://orkg.org/property/P140014,P140014,Insight,,2024-04-02T12:08:25.312563098+02:00,4
https://orkg.org/property/P4006,P4006,measure,,2019-01-06T15:04:07.692Z,5
https://orkg.org/property/P18048,P18048,accuracy,The number of correctly predicted data points out of all the data points.,2020-04-23T09:01:47.664147+02:00,6
https://orkg.org/property/P18057,P18057,has assay format,,2020-04-25T07:46:08.983959+02:00,7
https://orkg.org/property/RESULT,RESULT,result,"The result represents the key findings or outcomes derived from a research contribution after applying a specific method to a given material in addressing the research problem. Results provide evidence of the effectiveness, performance, or implications of the proposed approach and are often expressed in terms of quantitative metrics, qualitative observations, or experimental validations.",2022-01-18T11:06:14.559584+01:00,10
https://orkg.org/property/P59058,P59058,comparative analysis,"A method used to document the errors that appear in learner language, determine whether those errors are systematic, and (if possible) explain what caused them",2022-07-01T06:57:24.743705Z,11
https://orkg.org/property/P20023,P20023,temperature,degree Celsius,2020-05-25T15:00:36.019198+02:00,13
https://orkg.org/property/wikidata:P366,wikidata:P366,has use,,2023-03-11T10:35:03.860091Z,14
https://orkg.org/property/P25052,P25052,achieve,,2020-07-16T10:47:41.494488+02:00,15
https://orkg.org/property/P5098,P5098,time,,2019-12-17T12:37:34.604+01:00,18
https://orkg.org/property/P38003,P38003,dataset size,,2021-06-14T10:57:25.800469+02:00,19
https://orkg.org/property/wikidata:P276,wikidata:P276,location,"location of the object, structure or event. If possible the offcial name of a location in its local language, or a specific description of the geographic area.",2022-08-08T06:05:45.496008Z,21
https://orkg.org/property/P32,P32,research problem,https://www.wikidata.org/wiki/Q123578571,2022-06-30T08:20:43.846797Z,22
https://orkg.org/property/P174271,P174271,applies to,,2025-05-16T13:46:16.227303449+02:00,24
https://orkg.org/property/P110066,P110066,source,Source of the label/resource/information,2023-04-26T19:34:43.545178+02:00,25
https://orkg.org/property/P183140,P183140,limitation,"Outlines the constraints and potential weaknesses in the study, acknowledging factors that may affect the results or their interpretation.",2025-11-09T15:04:47.8203233+01:00,26
https://orkg.org/property/P2001,P2001,Algorithm,"A finite sequence of rigorous well-defined instructions, typically used to solve a class of specific problems or to perform a computation.",2019-01-06T15:04:07.692Z,27
https://orkg.org/property/P174290,P174290,data capture type,,2025-05-16T13:46:17.718982644+02:00,28
https://orkg.org/property/P174351,P174351,protocol_step,,2025-05-16T21:30:26.091409876+02:00,29
https://orkg.org/property/P30001,P30001,hypothesis,"A hypothesis is a precise, testable statement of what the researcher predict will be the outcome of the study.",2020-10-30T12:28:16.160408+01:00,30
https://orkg.org/property/P58001,P58001,1st Dataset,,2022-06-18T18:00:48.106087Z,31
https://orkg.org/property/P174030,P174030,research_aims,,2025-05-12T22:04:12.807649334+02:00,32
https://orkg.org/property/P39057,P39057,AUC,,2021-06-30T13:51:38.52185+02:00,33
https://orkg.org/property/P6,P6,author,The author of this content.,2019-01-06T15:04:07.692Z,34
https://orkg.org/property/P23145,P23145,Confidence interval,,2020-06-18T16:12:29.834047+02:00,36
https://orkg.org/property/HAS_APPROACH,HAS_APPROACH,approach,What is the approach for fulfilling their task/idea?,2022-12-01T17:26:30.80187Z,37
https://orkg.org/property/P147058,P147058,response time ,,2024-06-19T01:16:48.698032768+02:00,38
https://orkg.org/property/P15279,P15279,Age,,2020-03-30T21:46:16.32+02:00,39
https://orkg.org/property/P135009,P135009,geographical area,,2024-02-14T10:25:20.804158882+01:00,41
https://orkg.org/property/P37543,P37543,Year,Year of publication of the resource,2021-05-31T20:51:20.046128+02:00,42
https://orkg.org/property/P5019,P5019,Technique,,2019-12-17T11:39:36.36+01:00,43
https://orkg.org/property/P17001,P17001,data source,"A specific data set, metadata set, database or metadata repository from where data or metadata are available.",2020-04-14T17:47:47.280761+02:00,44
https://orkg.org/property/P183031,P183031,Date (end),,2025-10-21T12:53:01.798569963+02:00,45
https://orkg.org/property/softwareType,softwareType,softwareType,,2022-02-22T16:35:12.936337+01:00,48
https://orkg.org/property/HAS_IMPLEMENTATION,HAS_IMPLEMENTATION,implementation,,2022-12-01T17:27:09.017803Z,49
https://orkg.org/property/P15207,P15207,Date,the Small Language Model date in the following format YYYY.MM i.e. 2022.05,2020-03-30T21:26:05.983+02:00,51
